Kategori,Risk Skoru,Ghost Job?,Şirket,Başlık,Lokasyon,Yayın Tarihi,Yayın Süresi,Başvuru Sayısı,Başvuru Durumu,İşe Alım Uzmanı,Yanıt İçgörüsü,Çalışma Şekli,İş Tipi,Maaş,İlan Durumu,Tarih Analizi,Başvuru Analizi,Şüpheli İşaretler,İlan Linki
Ghost Job,9.5,Evet,ICBC Turkey,Senior System Admin ( Microsoft and VMWare ),Turkey,1 ay önce,1 ay,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,Henüz yanıt içgörüsü yok,,Full-time,,Yeniden Yayınlandı,1 ay önce,100 başvurudan fazla,30+ gün açık + yeniden yayınlandı (çok şüpheli); İlan 30+ gün açık (şüpheli); Çok fazla başvuru (100 başvurudan fazla); 30+ gün açık + yüksek başvuru ama yanıt yok (hareketsizlik); 30+ gün açık ama maaş bilgisi yok (şeffaflık eksikliği); 30+ gün açık + yanıt içgörüsü yok (iletişim gecikmesi); 30+ gün açık + genel lokasyon (sadece ülke); 30+ gün açık + işe alım uzmanı tanıtımı + yüksek başvuru (şüpheli),https://www.linkedin.com/jobs/view/4267458790/
Normal,2.5,Hayır,ARVEN CONSULTANCY,Senior Information Technology Specialist,İstanbul,5 gün önce,6 gün,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,5 gün önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4335613565/
Normal,2.5,Hayır,Fiba Perakende Grubu,Sistem Yönetimi Kıdemli Uzmanı,İstanbul,ago,ago,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,ago,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4336352924/
Normal,2.5,Hayır,Eclit,Senior IT Specialist - VMware Cloud,İstanbul,3 gün önce,3 gün,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,Yeniden Yayınlandı,3 gün önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4313003123/
Normal,2.5,Hayır,Turkcell,HEALTHCARE ICT MANAGER,Türkiye,1 hafta önce,6 gün,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,1 hafta önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4338004896/
Türkiye IT,2.5,Hayır,IKEA,"Bilgi Teknolojileri (IT) Uzmanı - IKEA Türkiye, Merkez Ofis",Türkiye,5 gün önce,6 gün,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,5 gün önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4339907501/
Normal,2.5,Hayır,Beymen Group,Kıdemli Bilgi Güvenliği Uzmanı,İstanbul,1 hafta önce,6 gün,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,1 hafta önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4338163808/
Normal,2.5,Hayır,FuzulEv,Bilgi Teknolojileri Sistem Kd. Uzmanı,İstanbul,2 hafta önce,2 hafta,100,100 başvurudan fazla,İşe alım uzmanı tarafından tanıtılıyor,,,Full-time,,,2 hafta önce,100 başvurudan fazla,Çok fazla başvuru (100 başvurudan fazla),https://www.linkedin.com/jobs/view/4331409937/
Normal,1.8,Hayır,ParamTECH,Microsoft System Admin,Ankara,ago,ago,29,29 başvuru,İşe alım uzmanı tarafından tanıtılıyor,Henüz yanıt içgörüsü yok,,Full-time,,,ago,29 başvuru,Yok,https://www.linkedin.com/jobs/view/4341151850/
Türkiye IT,1.8,Hayır,Mapa Group,IT Specialist,Ankara,ago,ago,19,19 başvuru,İşe alım uzmanı tarafından tanıtılıyor,Henüz yanıt içgörüsü yok,,Full-time,,,ago,19 başvuru,Yok,https://www.linkedin.com/jobs/view/4336730088/
